MES,CANAL,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Outubro,VenomExtreme,694040,1130000,3070000,4210000,5240000,3820000,11100000,11000000,14080000,14070000,16740000,14650000,19090000,17340000,17830000,14700000,16700000,14100000,14040000,13260000,19620000,17610000,15540000,17100000,13240000,14900000,14670000,12910000,15800000,17280000,18060000,18890000,16620000,15550000,18660000,17500000,15390000,NA,NA,NA,NA,NA,NA
Julho,Coisadenerd,397430,988400,1570000,2190000,2100000,2640000,2420000,2620000,1600000,5780000,6540000,5370000,3730000,3900000,4700000,7250000,5910000,4630000,3720000,3770000,2260000,997390,5270000,7430000,7000000,8990000,10940000,10660000,11200000,13040000,12660000,16740000,17000000,15800000,19730000,22150000,22000000,19050000,23090000,21780000,27630000,26470000,24910000
Junho,RezendeEvil,3090,467,474,1920,10680,70360,210090,315890,430500,639290,833340,1070000,1660000,1580000,1480000,1840000,1820000,1440000,2290000,2740000,4930000,7680000,10550000,17140000,21570000,21830000,25350000,28990000,32910000,56200000,58150000,76910000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setembro,Tazer,224980,203970,300040,449250,571150,616300,572830,1230000,1170000,1340000,1160000,1270000,1470000,1490000,1880000,3260000,3320000,3140000,2800000,3180000,3310000,4810000,4370000,3280000,4600000,4170000,6020000,7150000,7090000,10810000,10600000,11430000,16220000,18110000,18470000,22240000,25370000,27890000,41730000,44860000,41760000,NA,NA
Fevereiro,Authentic,7600,14020,10270,11750,16400,32760,70090,99150,151700,192890,346310,364870,528670,535030,552610,511710,920050,1070000,1220000,1680000,1880000,3010000,4570000,5480000,8230000,10290000,11020000,14750000,17450000,21770000,28140000,31420000,29710000,35940000,57340000,57840000,NA,NA,NA,NA,NA,NA,NA
Setembro,GameplayRJ,88080,109670,102190,99370,73310,104490,162910,154000,163080,218440,188060,192870,192250,182550,184290,285370,287890,297890,353050,427240,483350,869770,870070,1070000,1830000,2050000,2520000,3770000,4890000,8180000,11540000,14950000,21190000,23790000,24210000,25820000,29010000,31960000,40790000,47290000,48710000,NA,NA
Março,TheCraftanos,41320,193770,335120,792300,1280000,1060000,1350000,1500000,2290000,3710000,3120000,3820000,3360000,3200000,3660000,4220000,4080000,3800000,4670000,5160000,5060000,6000000,5240000,4440000,5010000,4710000,5560000,5650000,4920000,4700000,4640000,5520000,9470000,10700000,10600000,NA,NA,NA,NA,NA,NA,NA,NA
Maio,CasaldeNerd,82350,178080,312390,335740,322110,405490,536140,1240000,1380000,1520000,1630000,1300000,1360000,1380000,611650,1000000,1400000,1340000,1640000,1630000,1480000,2060000,2210000,3090000,6340000,11980000,13490000,16170000,18040000,22040000,35570000,33390000,32050000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julho,MateiFormiga,53450,136440,226170,265370,528510,781030,510660,322680,354740,274760,180760,201760,439900,440770,651200,879190,1140000,1540000,2040000,2580000,3180000,3800000,5410000,7110000,8240000,11730000,12540000,13190000,17080000,20020000,16250000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Abril,TerrorGames,45670,76310,159260,240600,523370,765140,798660,879700,1020000,956360,889720,836780,1160000,1370000,1880000,2100000,2020000,2560000,2730000,2850000,2930000,3290000,3630000,4280000,4880000,6630000,8550000,9230000,9360000,9360000,9470000,15790000,17710000,14830000,NA,NA,NA,NA,NA,NA,NA,NA,NA
agosto,Malena010102,12050,12270,13560,17370,82450,144480,215050,197450,275110,356480,505960,578870,378860,739450,1110000,1850000,2300000,1990000,3270000,3050000,3280000,3690000,3770000,5070000,8330000,8000000,8010000,10830000,12380000,10530000,9720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fevereiro,Am3nic,2180,4310,3140,-595,8890,15410,46550,44050,63180,64130,77630,185330,505250,1180000,1480000,1530000,3430000,3060000,3510000,6360000,6820000,10770000,13600000,14830000,18290000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Março,exetrizegamer,15180,40750,60710,111510,202570,212620,294020,397480,681340,1030000,1150000,1630000,1910000,2360000,3500000,4980000,5560000,6030000,7330000,7500000,9870000,12440000,13450000,15720000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Março,t3ddygames,122700,123770,109080,140720,208850,297810,315720,299370,356420,482220,526610,659190,833010,910970,866200,1180000,1250000,1180000,-573080,1740000,1730000,1640000,1780000,1830000,2360000,2640000,4310000,5550000,5530000,6430000,6770000,7300000,11070000,13550000,12220000,9650000,NA,NA,NA,NA,NA,NA,NA
Setembro,consolesjogosbrasil,369610,542420,602690,647890,421910,594340,497690,980800,802370,955470,1100000,1200000,1210000,1480000,1780000,2480000,1810000,1790000,1890000,2120000,2220000,2350000,2250000,2050000,2480000,2890000,3030000,3400000,3140000,3650000,4010000,4500000,5580000,5880000,61300000,6480000,5880000,5700000,8090000,9030000,9450000,9350000,NA
maio,jvnq,14790,109190,155340,131370,170310,194710,317730,381740,631220,1170000,1670000,2530000,3320000,4850000,4270000,5540000,5660000,5480000,6390000,8190000,8260000,9280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setembro,gameseduuu,7780,8700,8710,6880,-22630,2350,22320,48500,53960,107570,131680,207010,261750,282270,292430,557680,697170,898400,1680000,2260000,2860000,3100000,3630000,3480000,4050000,3980000,5680000,7810000,7060000,7980000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maio,headshotRJ,286280,366540,360680,447960,584220,594620,690780,748790,565490,598050,387430,595150,494340,564600,479370,338690,457500,462690,252310,471520,440430,564690,520610,523760,503220,488090,577360,7510,550840,538050,674800,559270,551050,8460000,NA,NA,NA,NA,NA,NA,NA,NA,NA
abril,eletronicdesirege,274410,594990,1020000,980980,942620,828000,837800,909700,1090000,959470,930620,1110000,1270000,1060000,1660000,1510000,2100000,2160000,1970000,2350000,2490000,2170000,2430000,2750000,3470000,4180000,3560000,4050000,4220000,4670000,5380000,6540000,7270000,8120000,7550000,NA,NA,NA,NA,NA,NA,NA,NA
Outubro,guilhermeoss,279050,856080,1280000,1210000,1330000,1740000,1920000,2100000,2580000,2720000,2350000,3500000,3660000,1750000,5260000,4790000,5370000,3600000,5370000,6450000,6190000,6160000,6370000,6290000,6840000,9170000,9180000,7380000,7820000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fevereiro,luginbr,31930,30510,41610,43870,72670,74530,123270,121180,147410,19300,95980,122710,63610,136350,179750,284430,391460,577030,591930,636970,1010000,995970,1140000,1280000,1780000,1940000,2140000,2950000,4060000,4800000,5210000,4970000,3610000,5560000,7920000,7590000,7580000,NA,NA,NA,NA,NA,NA
Outubro,pvptotal,298380,407080,489270,432430,639730,700240,886710,981280,1310000,1190000,716750,324670,282150,614370,648930,687400,1160000,1490000,1730000,2710000,3680000,4830000,5970000,1380000,6000000,7420000,8880000,8020000,7920000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
novembro,Cellbits,188210,514010,499820,776350,1020000,1070000,1430000,1210000,1000000,1070000,1370000,1670000,2050000,1850000,1540000,1490000,1840000,1680000,3040000,4030000,4400000,3880000,4070000,4900000,7160000,7420000,7090000,7510000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Outubro,DuplaBrazuca,161,176,57,16950,31300,32510,34030,33720,201570,98490,112800,81480,86780,119220,71500,164030,176830,251030,517920,1360000,1390000,1940000,2510000,3040000,4030000,5390000,6160000,6480000,7280000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
janeiro,mucamuricoca,64570,111190,182340,229330,2440000,476450,311190,386790,543250,767230,771170,820310,817060,702500,870910,1200000,2050000,2330000,3070000,2720000,3320000,3500000,4870000,6330000,5990000,7200000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Março,Felipeviktor,10250,10890,7110,9980,9000,7790,11900,14740,20440,46110,61070,93360,180410,429680,993570,1440000,1700000,2010000,2370000,2800000,4680000,5530000,5970000,6810000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maio,excelenciagamer,40470,57860,53660,50280,60820,49190,45900,36800,17430,22300,27290,26100,15980,18790,28190,43650,52400,59730,76830,255210,446220,975140,2340000,3770000,5300000,5690000,5310000,5590000,5950000,6010000,7010000,8130000,7110000,6370000,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fevereiro,fabistacraft,51490,46450,56050,54880,60530,39360,39140,81470,102980,92630,139000,129350,135210,119580,112660,126900,221290,193450,173980,210870,167750,138010,324250,385780,144450,282290,324930,580340,1470000,1220000,1680000,1280000,1820000,3360000,3330000,3580000,6450000,NA,NA,NA,NA,NA,NA
Fevereiro,luix1227,63390,119590,81370,107580,506080,493410,422480,750190,1010000,1790000,3070000,3150000,6800000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
agosto,gamesunbeliavable,142,885,473,1,16940,56480,145340,302100,380390,521530,615370,648570,487410,796040,838040,596130,967270,855900,756640,751980,820220,1310000,1320000,1550000,1920000,2480000,2570000,3820000,4860000,5520000,5700000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Setembro,Damianizando,771,367,280,11,13,48810,12420,36220,44610,192590,357950,431160,618350,723650,1370000,1290000,1130000,971770,1680000,409450,1020000,1880000,1640000,1790000,1810000,1890000,2360000,3490000,5050000,5730000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julho,onlybrothersgamers,11000,4000,4260,7390,3130,885,8100,2000,7390,5080,5080,3890,7190,18310,37250,51660,46570,71160,96430,202380,239360,171460,158540,151010,388960,928150,1440000,2110000,3220000,3040000,2890000,5950000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
julho,Alanyoshiaki10,3700,4500,9150,6060,5550,7720,8820,11210,9920,11460,10000,7670,9410,21960,23870,25860,39200,96560,252390,1120000,2300000,3100000,3430000,3800000,3740000,3940000,4250000,4620000,5900000,6790000,6040000,5410000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
maio,thecreepersoficial,15630,17110,22660,56870,114420,142280,86770,107680,110380,136010,107460,164510,173970,231160,260260,240310,298650,389730,595920,811380,980130,1260000,1550000,1680000,2100000,2400000,2660000,3240000,3770000,3680000,4100000,5150000,4700000,5030000,NA,NA,NA,NA,NA,NA,NA,NA,NA
novembro,viniccius13,187220,155600,100660,374630,284270,404410,742030,878810,912620,1090000,881420,858530,776160,754940,705810,953980,1100000,1050000,1160000,1460000,1250000,1300000,1360000,1350000,1830000,1710000,1650000,1810000,1710000,1650000,1910000,2630000,2680000,2900000,2650000,3310000,4160000,4060000,3710000,5050000,NA,NA,NA
